1,FENG-SHUI PARA LA VIDA,2002
2,SUPERUTILIDADES PARA JAVA SCRIPT,1999
3,ARQUITECTURA DE LA IMFORMACION PARA EL WWW,2000
4,DISEÑO Y PROGRAMACION DE APLICACIONES PARA E-COMMERCE,2000
5,WINDOWS 2000 SECURITY HANDBOOK,2001
6,OUTLOOK 2000 VBA PROGRAMMERS REFERENCE,1999
7,INTERNATIONAL MARKETING,2007
8,METODOLOGIA DE LA INVESTIGACION, 2003
9,BIOQUIMICA,1970
10,ESTADISTICA APLICADA A LOS NEGOCIOS Y LA ECONOMIA,2006
11,BIOPSICOLOGÍA,2007
12,THE ANALYSIS OF BEHAVIOR,1961
13,LA INTRODUCCION DEL ARISTOTELISMO EN CHINA A TRAVES DEL D,2009
14,MIGRACION Y DESARROLLO 5,1980
15,RETROSPECTIVA ELECTORAL,2005
16,EL PRINCIPE (OBRAS INMORTALES),1975
17,ANUARIO ESTADÍSTICO DE LOS ESTADOS UNIDOS MEXICANOS,2004
18,HISTORIA DEL PARAÍSO,2003
19,ANTOLOGÍA DE LA PLANEACIÓN EN MÉXICO (TOMO 27),1996
20,ANTOLOGÍA DE LA PLANEACIÓN EN MÉXICO (TOMO 26),1995
21,ANTOLOGÍA DE LA PLANEACIÓN EN MÉXICO (TOMO 25),1995
22,ANTOLOGÍA DE LA PLANEACIÓN EN MÉXICO (TOMO 24),1994
23,EL VENDEDOR MAS GRANDE DEL MUNDO,1976
24,POEMAS DE LAS AVES Y LOS AÑOS,1996
25,LOS PREMIOS PULITZER DE NOVELA VI,1980
26,LA CRISIS INTERNACIONAL Y LA AMÉRICA LATINA,1984
27,¿QUÉ SON LAS MATEMÁTICAS?,2002
28,EL MARXISMO HOY EN DÍA,1968
29,LA DEMOGRACIA EN LA ACTUALIDAD,1967
30,REGIONES PRIORITARIAS,1999
31,PSICOTERAPIA FAMILIAR,1982
32,ESTRATEGIA DE MARKETING SUN TZU,2004
